ip_src,ip_dst,srcport,dstport,tp_proto,data_proto,data_type,data_len,entropy_shannon,entropy_renyi,entropy_tsallis,reason
52.98.149.178,10.42.0.140,443,50284,tcp,tls,unknown,626.0,0.8601030537035683,0.8311842537822234,0.9900388641854276,info:
52.98.149.178,10.42.0.140,443,50284,tcp,tls,unknown,38.0,0.47591936525720047,0.39440977818473894,0.8877551020408163,info:
10.42.0.140,52.98.149.178,50284,443,tcp,tls,unknown,46.0,0.5144358291209401,0.42908239872591913,0.9073881373569199,info:
10.42.0.140,52.98.149.178,50284,443,tcp,tls,unknown,31.0,0.39952499987136136,0.30590138374086223,0.8166351606805293,info:
10.42.0.140,17.57.146.140,49916,5223,tcp,tls,unknown,32.0,0.46875,0.4597589881390797,0.921875,info:
10.42.0.140,17.57.146.140,49916,5223,tcp,tls,unknown,40.0,0.5404820237218406,0.5304147825238745,0.9472,info:
17.57.146.140,10.42.0.140,5223,49916,tcp,tls,unknown,24.0,0.4580622224000577,0.45183873051440104,0.9183673469387755,info:
10.42.0.140,10.42.0.1,54608,53,udp,dns,text,40.0,0.4453766770892746,0.376070251687928,0.8757396449704142,info:dns
10.42.0.140,10.42.0.1,55681,53,udp,dns,text,40.0,0.436225691459482,0.3695870269723925,0.871191135734072,info:dns
10.42.0.1,10.42.0.140,53,54608,udp,dns,text,184.0,0.5747338212693442,0.46629309214133824,0.9246550168732668,info:dns
10.42.0.1,10.42.0.140,53,55681,udp,dns,text,166.0,0.5256671379845577,0.38212036969033225,0.8798392987582176,info:dns
10.42.0.140,10.42.0.1,60048,53,udp,dns,text,44.0,0.4876914582641076,0.4132043811895699,0.8988642509464575,info:dns
10.42.0.140,10.42.0.1,61057,53,udp,dns,text,44.0,0.48694987475246404,0.4148687993859334,0.8997933884297521,info:dns
10.42.0.1,10.42.0.140,53,61057,udp,dns,text,108.0,0.47240434885273724,0.34041441283922674,0.84857401539158,info:dns
10.42.0.1,10.42.0.140,53,60048,udp,dns,text,126.0,0.5627197508683675,0.4708321598878764,0.9265277777777777,info:dns
10.42.0.140,132.245.231.13,50291,443,tcp,data,unknown,1420.0,0.8590080524513267,0.7962319235153239,0.9879084365228348,info:
10.42.0.140,132.245.231.13,50291,443,tcp,tls,unknown,128.0,0.6727560604436164,0.595823939878064,0.9632622143668729,info:
132.245.231.13,10.42.0.140,443,50291,tcp,data,unknown,1460.0,0.757395682404949,0.6768049275423602,0.9765527818123866,info:
132.245.231.13,10.42.0.140,443,50291,tcp,data,unknown,1460.0,0.8260955649942049,0.7616353162768208,0.985351289629881,info:
132.245.231.13,10.42.0.140,443,50291,tcp,data,unknown,1460.0,0.8287505433995038,0.757109527049777,0.9849790092443831,info:
132.245.231.13,10.42.0.140,443,50291,tcp,tls,unknown,61.0,0.5703125,0.5445179762781595,0.951171875,info:
10.42.0.140,132.245.231.13,50291,443,tcp,tls,unknown,158.0,0.6893744221447581,0.5940492058343638,0.9628988850442137,info:
10.42.0.140,17.57.146.140,49916,5223,tcp,tls,unknown,32.0,0.5277410118609204,0.5230530713921785,0.945,info:
17.57.146.140,10.42.0.140,5223,49916,tcp,tls,unknown,26.0,0.484375,0.478759374819711,0.9296875,info:
132.245.231.13,10.42.0.140,443,50291,tcp,tls,unknown,51.0,0.500501660527534,0.4165499622999273,0.9007232084155161,info:
132.245.231.13,10.42.0.140,443,50291,tcp,tls,unknown,69.0,0.5772514446221707,0.5072642053817613,0.9399675500270417,info:
10.42.0.140,132.245.231.13,50291,443,tcp,data,unknown,1420.0,0.8879003723569475,0.8668099160470336,0.9918245113894905,info:
10.42.0.140,132.245.231.13,50291,443,tcp,tls,unknown,1110.0,0.8789624152028592,0.8564775447265585,0.9913424193206695,info:
10.42.0.140,132.245.231.13,50291,443,tcp,tls,unknown,38.0,0.4504820237218406,0.36408411852531564,0.8672,info:
