stream,bytes,megabytes,tuple
239,11329,0.011,"(239, 11329)"
240,7673,0.007,"(240, 7673)"
241,168914,0.161,"(241, 168914)"
242,6353,0.006,"(242, 6353)"
243,8258,0.008,"(243, 8258)"
244,6459,0.006,"(244, 6459)"
245,6841,0.007,"(245, 6841)"
246,7171,0.007,"(246, 7171)"
247,7236,0.007,"(247, 7236)"
248,7525,0.007,"(248, 7525)"
249,7222,0.007,"(249, 7222)"
250,6088,0.006,"(250, 6088)"
251,6172,0.006,"(251, 6172)"
252,5855,0.006,"(252, 5855)"
253,91875,0.088,"(253, 91875)"
254,8382,0.008,"(254, 8382)"
255,5855,0.006,"(255, 5855)"
256,5855,0.006,"(256, 5855)"
257,4903915,4.677,"(257, 4903915)"
258,4009,0.004,"(258, 4009)"
259,8552,0.008,"(259, 8552)"
260,6757,0.006,"(260, 6757)"
261,8258,0.008,"(261, 8258)"
262,6459,0.006,"(262, 6459)"
263,6709,0.006,"(263, 6709)"
264,9027,0.009,"(264, 9027)"
265,4009,0.004,"(265, 4009)"
266,42637,0.041,"(266, 42637)"
267,5789,0.006,"(267, 5789)"
268,5855,0.006,"(268, 5855)"
269,5855,0.006,"(269, 5855)"
270,10707,0.01,"(270, 10707)"
271,8164,0.008,"(271, 8164)"
272,6913,0.007,"(272, 6913)"
273,9516,0.009,"(273, 9516)"
274,9812,0.009,"(274, 9812)"
275,7794,0.007,"(275, 7794)"
276,7328,0.007,"(276, 7328)"
277,7805,0.007,"(277, 7805)"
278,4840,0.005,"(278, 4840)"
279,5028493,4.796,"(279, 5028493)"
280,5373,0.005,"(280, 5373)"
281,6933,0.007,"(281, 6933)"
282,5856,0.006,"(282, 5856)"
283,5922,0.006,"(283, 5922)"
284,6752,0.006,"(284, 6752)"
285,6030,0.006,"(285, 6030)"
286,6024,0.006,"(286, 6024)"
287,6184,0.006,"(287, 6184)"
288,5789,0.006,"(288, 5789)"
289,11849,0.011,"(289, 11849)"
290,6181,0.006,"(290, 6181)"
291,5855,0.006,"(291, 5855)"
292,5855,0.006,"(292, 5855)"
293,5855,0.006,"(293, 5855)"
294,10758,0.01,"(294, 10758)"
295,5855,0.006,"(295, 5855)"
296,14309,0.014,"(296, 14309)"
297,11010,0.01,"(297, 11010)"
298,10710,0.01,"(298, 10710)"
299,5855,0.006,"(299, 5855)"
300,5789,0.006,"(300, 5789)"
301,5855,0.006,"(301, 5855)"
302,6182,0.006,"(302, 6182)"
303,5789,0.006,"(303, 5789)"
304,5789,0.006,"(304, 5789)"
305,5789,0.006,"(305, 5789)"
306,5789,0.006,"(306, 5789)"
307,5921,0.006,"(307, 5921)"
308,6987,0.007,"(308, 6987)"
309,5789,0.006,"(309, 5789)"
310,6182,0.006,"(310, 6182)"
311,5855,0.006,"(311, 5855)"
312,5789,0.006,"(312, 5789)"
313,5789,0.006,"(313, 5789)"
314,4009,0.004,"(314, 4009)"
315,6645833,6.338,"(315, 6645833)"
316,6410,0.006,"(316, 6410)"
317,6685,0.006,"(317, 6685)"
318,8535,0.008,"(318, 8535)"
319,12515,0.012,"(319, 12515)"
320,7761,0.007,"(320, 7761)"
321,10440,0.01,"(321, 10440)"
322,9493,0.009,"(322, 9493)"
323,5736,0.005,"(323, 5736)"
324,5922,0.006,"(324, 5922)"
325,5855,0.006,"(325, 5855)"
326,163083,0.156,"(326, 163083)"
327,5855,0.006,"(327, 5855)"
328,5855,0.006,"(328, 5855)"
329,5921,0.006,"(329, 5921)"
330,15703,0.015,"(330, 15703)"
331,5789,0.006,"(331, 5789)"
332,5855,0.006,"(332, 5855)"
333,12582,0.012,"(333, 12582)"
334,10635,0.01,"(334, 10635)"
335,8244,0.008,"(335, 8244)"
336,6848,0.007,"(336, 6848)"
337,7741,0.007,"(337, 7741)"
338,9754,0.009,"(338, 9754)"
339,9812,0.009,"(339, 9812)"
340,5855,0.006,"(340, 5855)"
341,4165,0.004,"(341, 4165)"
342,6164,0.006,"(342, 6164)"
343,6023,0.006,"(343, 6023)"
344,6045,0.006,"(344, 6045)"
345,13561,0.013,"(345, 13561)"
346,5921,0.006,"(346, 5921)"
347,20918,0.02,"(347, 20918)"
348,6011,0.006,"(348, 6011)"
349,598002,0.57,"(349, 598002)"
350,6676,0.006,"(350, 6676)"
351,6657,0.006,"(351, 6657)"
352,6709,0.006,"(352, 6709)"
353,5922,0.006,"(353, 5922)"
354,6686,0.006,"(354, 6686)"
355,5855,0.006,"(355, 5855)"
356,5855,0.006,"(356, 5855)"
357,5855,0.006,"(357, 5855)"
358,6116,0.006,"(358, 6116)"
359,4009,0.004,"(359, 4009)"
360,7820,0.007,"(360, 7820)"
361,5855,0.006,"(361, 5855)"
362,8873587,8.463,"(362, 8873587)"
363,7404,0.007,"(363, 7404)"
364,13393,0.013,"(364, 13393)"
365,7398,0.007,"(365, 7398)"
366,966,0.001,"(366, 966)"
367,6595,0.006,"(367, 6595)"
368,13499,0.013,"(368, 13499)"
369,7581,0.007,"(369, 7581)"
370,30985,0.03,"(370, 30985)"
371,6752,0.006,"(371, 6752)"
372,14269,0.014,"(372, 14269)"
373,132,0.0,"(373, 132)"
374,7027,0.007,"(374, 7027)"
375,9659,0.009,"(375, 9659)"
376,8557,0.008,"(376, 8557)"
377,49767,0.047,"(377, 49767)"
378,25477,0.024,"(378, 25477)"
379,5640,0.005,"(379, 5640)"
380,4142,0.004,"(380, 4142)"
381,11370,0.011,"(381, 11370)"
382,6625,0.006,"(382, 6625)"
383,8854,0.008,"(383, 8854)"
384,8298,0.008,"(384, 8298)"
385,5719,0.005,"(385, 5719)"
386,13615,0.013,"(386, 13615)"
387,11458,0.011,"(387, 11458)"
388,11697,0.011,"(388, 11697)"
389,7647,0.007,"(389, 7647)"
390,7813,0.007,"(390, 7813)"
391,9710,0.009,"(391, 9710)"
392,8681,0.008,"(392, 8681)"
393,7835,0.007,"(393, 7835)"
394,18425,0.018,"(394, 18425)"
395,11750,0.011,"(395, 11750)"
396,15583,0.015,"(396, 15583)"
397,10999,0.01,"(397, 10999)"
398,12219,0.012,"(398, 12219)"
399,1250593,1.193,"(399, 1250593)"
400,9315,0.009,"(400, 9315)"
401,8073,0.008,"(401, 8073)"
402,8814,0.008,"(402, 8814)"
403,8537,0.008,"(403, 8537)"
404,103260,0.098,"(404, 103260)"
405,9433,0.009,"(405, 9433)"
406,9628,0.009,"(406, 9628)"
407,9502,0.009,"(407, 9502)"
408,9437,0.009,"(408, 9437)"
409,9484,0.009,"(409, 9484)"
410,8412,0.008,"(410, 8412)"
411,10184,0.01,"(411, 10184)"
412,17927,0.017,"(412, 17927)"
413,17783,0.017,"(413, 17783)"
414,2771,0.003,"(414, 2771)"
415,2837,0.003,"(415, 2837)"
416,546,0.001,"(416, 546)"
417,546,0.001,"(417, 546)"
418,546,0.001,"(418, 546)"
419,34702,0.033,"(419, 34702)"
420,13137,0.013,"(420, 13137)"
421,52973,0.051,"(421, 52973)"
422,17517,0.017,"(422, 17517)"
423,12090,0.012,"(423, 12090)"
424,24498,0.023,"(424, 24498)"
425,16731,0.016,"(425, 16731)"
426,13630,0.013,"(426, 13630)"
427,11247,0.011,"(427, 11247)"
428,49601,0.047,"(428, 49601)"
